,Neighborhood,ID,Name,Likes,Rating,Tips
0,Noho,4a790030f964a520cbe61fe3,Luzzo's,279,8.5,112
1,Chinatown,5ae016fc2faed54a007fbb89,Una Pizza Napoletana,85,7.0,19
2,Midtown South,5b5b8ac6c21cb1002c540c6f,Cardoncello DiVino,10,7.5,2
3,Tribeca,4a149749f964a52055781fe3,Locanda Verde,1434,9.1,503
4,Tudor City,4afa15d8f964a520931622e3,Villa Berulia,37,8.2,13
5,Soho,3fd66200f964a520dbe91ee3,Lupa,553,8.8,228
6,East Village,53726183498e6a101ea7fd06,Bar Primi,632,8.5,200
7,Soho,50e6eae5e4b06de013260a31,Bar Ciccio Alimentari,148,8.9,45
8,Greenwich Village,49bd2326f964a5204d541fe3,I Sodi,257,9.0,96
9,Gramercy,4c7ee13301df37044eaee4ac,Manzo,183,8.3,86
10,Hamilton Heights,56d8e01d498ef1500ae7fbfe,Fumo,104,9.1,22
11,West Village,549d841d498e8b6d495e5f25,Santina,659,8.4,160
12,Yorkville,55835b10498e4d4b71a919c7,G&J's Pizzeria,8,6.0,4
13,Clinton,4f44a2bd19836ed0019571be,Mama Mia 44sw Italian Cuisine,20,6.7,9
14,Murray Hill,5be4c3afda5e560039aee110,Benno,12,8.0,4
15,Hudson Yards,4b4d140bf964a5202aca26e3,Lugo Cucina,93,6.8,51
16,Hudson Yards,4b4cc1f2f964a52087bd26e3,Bottino Restaurant,101,7.5,44
17,Upper West Side,5282b4bf11d2b180cc775713,Cibo E Vino,80,7.5,12
18,Midtown,4ba293adf964a520ef0538e3,Etcetera Etcetera,101,7.5,48
19,Civic Center,5bc67f67898bdc002c570600,Sola Pasta Lab,4,7.2,2
20,Lenox Hill,52f8ed59498ede6f715776d8,Sant Ambroeus Coffee Bar,132,8.4,28
21,Greenwich Village,504b2a9ee4b006c435a465d3,Carbone,718,9.2,234
22,Gramercy,5396110b498ecef1832bd696,Obicà Mozzarella Bar Pizza e Cucina,258,7.8,69
23,Gramercy,58252ebad02c06429707be49,Norma,52,7.8,18
24,Chelsea,59dc07609ef8ef6202638fba,Don Angie,170,8.9,47
25,Turtle Bay,567f3485498e0948d80ffcfd,Da Raffaele,6,7.4,6
26,Civic Center,3fd66200f964a520f4e41ee3,Ecco,29,7.3,19
27,Gramercy,4aa7a44ef964a520e44c20e3,Mangia,88,7.5,38
28,Financial District,596e8fbd6f706a4c51646b72,Serafina Tribeca,39,6.5,8
29,Morningside Heights,457f1183f964a5204b3f1fe3,Pisticci Ristorante,412,9.0,146
30,Soho,556f4ef2498ee60139b28c72,Dante NYC,504,9.1,138
31,Carnegie Hill,0,0,0,0.0,0
32,Tudor City,57fead01498e2e13f95505e3,Prova Pizzabar,18,6.1,7
33,Soho,49ff2b51f964a520e86f1fe3,Il Mulino New York,134,8.4,63
34,Flatiron,3fd66200f964a52068e31ee3,Pete's Tavern,572,7.9,136
35,Civic Center,5c6f559535811b002c0d4496,Gran Tivoli,15,7.7,4
36,Lenox Hill,49fcd632f964a520e36e1fe3,Tiramisu,36,7.6,26
37,East Village,49d8d101f964a520cb5d1fe3,Giano Restaurant,81,8.4,53
38,Clinton,3fd66200f964a5201bea1ee3,ViceVersa,63,8.0,36
