,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
0,Marble Hill,40.87655077879964,-73.91065965862981,Arturo's,4b4429abf964a52037f225e3,40.87441177110232,-73.91027100981573,Pizza Place
3,Marble Hill,40.87655077879964,-73.91065965862981,pinochio pizza,5302a84a11d26be8acd6bd89,40.877868,-73.918948,Italian Restaurant
7,Chinatown,40.71561842231432,-73.99427936255978,Zia Maria Little Italy,5c89cad22632ec002c2722d4,40.71850429999999,-73.997465,Italian Restaurant
10,Chinatown,40.71561842231432,-73.99427936255978,Trapizzino,5070d27ae4b0513ffd4ddfe7,40.720389606149176,-73.98897171020508,Italian Restaurant
11,Chinatown,40.71561842231432,-73.99427936255978,Arancini Bros,5ce7332c1acf11002cd8cf3d,40.717715999999996,-73.98813,Fast Food Restaurant
14,Chinatown,40.71561842231432,-73.99427936255978,Peroni Italy,51f4a166498e43c86eea878b,40.71834986776732,-74.00299994656827,Italian Restaurant
15,Chinatown,40.71561842231432,-73.99427936255978,Ciao Bella Pizzeria & Restaurant,4bf2d441e5eba59347da1d90,40.71982456756558,-73.99014820704349,Pizza Place
17,Chinatown,40.71561842231432,-73.99427936255978,Roman's Italian Deli Cafe,53c86025498ee05447aae1be,40.720912489254864,-73.98939910613696,Italian Restaurant
19,Chinatown,40.71561842231432,-73.99427936255978,Di Palo Fine Foods,49dad010f964a520b15e1fe3,40.719147699809156,-73.99657675353625,Gourmet Shop
21,Chinatown,40.71561842231432,-73.99427936255978,Parm,4d9f8d97a428a1cdd92acb04,40.72311702749351,-73.99579143672962,Italian Restaurant
25,Chinatown,40.71561842231432,-73.99427936255978,Fiat Café,4be1bcf53ef676b05651c0ca,40.721447789830606,-73.99554515148479,Café
27,Chinatown,40.71561842231432,-73.99427936255978,Osteria Morini,4c7d4f1b8da18cfa1afc9ece,40.721990000000005,-73.99779000000001,Italian Restaurant
29,Chinatown,40.71561842231432,-73.99427936255978,Da Nico Ristorante,4b1c3950f964a520970424e3,40.719621000000004,-73.996891,Italian Restaurant
33,Chinatown,40.71561842231432,-73.99427936255978,La Mela,44c0ed2df964a520b1351fe3,40.7199711514626,-73.99708481544744,Italian Restaurant
38,Chinatown,40.71561842231432,-73.99427936255978,Puglia Restaurant,3fd66200f964a520ade61ee3,40.718165114645075,-73.99782187292206,Italian Restaurant
42,Chinatown,40.71561842231432,-73.99427936255978,Il Cortile,40fb0f00f964a520db0a1fe3,40.71798075849519,-73.99820154893919,Italian Restaurant
43,Chinatown,40.71561842231432,-73.99427936255978,Piacere NYC,51c4bbd02fc62fbffb241861,40.719816147536136,-73.99506664876193,Italian Restaurant
47,Chinatown,40.71561842231432,-73.99427936255978,Pepe Rosso Social,52698f5911d23c1c66d64564,40.720011273025044,-73.99610683943625,Italian Restaurant
57,Washington Heights,40.851902525553044,-73.93690027985234,Riossi Pizza,582db42df16bb5393da522c5,40.855702,-73.933527,Italian Restaurant
60,Washington Heights,40.851902525553044,-73.93690027985234,Maranello Trattoria & Lounge,539a38cd498eb12d43b64424,40.859134674072266,-73.93047332763672,Italian Restaurant
61,Washington Heights,40.851902525553044,-73.93690027985234,Vintage larchmont,4fb7dc66e4b01da8205fe92d,40.847206115722656,-73.93449401855469,Italian Restaurant
62,Inwood,40.86768396449915,-73.92121042203897,Il Sole,4310fe80f964a52050271fe3,40.86601463557048,-73.9278209600476,Italian Restaurant
65,Inwood,40.86768396449915,-73.92121042203897,Trattoria Inwood,52cdfb4011d2f6cf0535f2d2,40.868415973147286,-73.9186468720436,Italian Restaurant
68,Hamilton Heights,40.823604284811935,-73.94968791883366,Vittorio's Pizza Plus,505380aee4b07ab78c6545fe,40.82383014147579,-73.94423562359108,Pizza Place
71,Hamilton Heights,40.823604284811935,-73.94968791883366,Tonali,51a14659498e4edc5804a6e0,40.827727330809715,-73.95477861490802,Italian Restaurant
73,Manhattanville,40.81693442949779,-73.9573853935188,Pisticci Ristorante,457f1183f964a5204b3f1fe3,40.814015155983675,-73.9602659078139,Italian Restaurant
78,Manhattanville,40.81693442949779,-73.9573853935188,Fumo,56d8e01d498ef1500ae7fbfe,40.82141198794549,-73.95049884872276,Italian Restaurant
81,Central Harlem,40.81597606742414,-73.94321112603905,Tuscan Kitchen,570e640b498ee5f152089955,40.81587600708008,-73.94378662109375,Italian Restaurant
82,Central Harlem,40.81597606742414,-73.94321112603905,2W Restaurant,4c4647c0342c1b8d3a40b689,40.810136,-73.93991199999999,Italian Restaurant
85,Central Harlem,40.81597606742414,-73.94321112603905,GIOVONI,4fda9441e4b0f3760b0e350e,40.810866627297294,-73.94589865118127,Italian Restaurant
93,East Harlem,40.79224946663033,-73.94418223148523,Giovanna's Restaurant,4a7b0914f964a520d7e91fe3,40.78852325970528,-73.94904260868647,Italian Restaurant
95,East Harlem,40.79224946663033,-73.94418223148523,Tre Otto,4b7f14d5f964a520191530e3,40.788336314844884,-73.9534220307343,Italian Restaurant
100,East Harlem,40.79224946663033,-73.94418223148523,Armonie,51800134e4b03b4e898c8f16,40.79990694458094,-73.94266193452779,Italian Restaurant
101,Upper East Side,40.77563857330181,-73.96050763135,Serafina Fabulous Pizza,4fc6b972e4b0824ae3757353,40.77621145486648,-73.96218656136645,Italian Restaurant
104,Upper East Side,40.77563857330181,-73.96050763135,The Mark Restaurant by Jean-Georges,4b7f36b5f964a520a31f30e3,40.77521873043948,-73.96338138800205,American Restaurant
108,Upper East Side,40.77563857330181,-73.96050763135,Sistina,57d9ddfe498e8a66d21ce8bb,40.777597,-73.961685,Italian Restaurant
112,Upper East Side,40.77563857330181,-73.96050763135,Come Prima Ristorante,56bce4c5498ef768f74f4e6c,40.772053,-73.964867,Italian Restaurant
115,Upper East Side,40.77563857330181,-73.96050763135,Sette Mezzo,4aeb7568f964a52043c221e3,40.769294621465185,-73.96300133834809,Italian Restaurant
116,Upper East Side,40.77563857330181,-73.96050763135,Caffe dei Fiori,547bad25498e5c0b5784c014,40.76940091363795,-73.96288348301229,Italian Restaurant
117,Upper East Side,40.77563857330181,-73.96050763135,Elio's,4b981d9af964a520802d35e3,40.7767829340134,-73.95273640751839,Italian Restaurant
121,Upper East Side,40.77563857330181,-73.96050763135,Uva,42699000f964a52049211fe3,40.772118,-73.95564,Italian Restaurant
124,Upper East Side,40.77563857330181,-73.96050763135,Bigoi Venezia,596e2cd68496ca6c4dcde792,40.76995154071836,-73.95748568997048,Italian Restaurant
125,Upper East Side,40.77563857330181,-73.96050763135,Caffe Buon Gusto - Manhattan,4a6133a6f964a52015c21fe3,40.77249848070456,-73.9569944284568,Italian Restaurant
126,Upper East Side,40.77563857330181,-73.96050763135,Felice 83,4e4078922271a89dd083d07e,40.77486666568879,-73.950868085548,Italian Restaurant
128,Upper East Side,40.77563857330181,-73.96050763135,Tiramisu,49fcd632f964a520e36e1fe3,40.77494597871838,-73.95693214362441,Italian Restaurant
